,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
LUX,13900,13200,12800,12300,11800,11400,11000,10500,10000,9400,8900,8400,7900,7400,7000,6700,6400,6100,5800,5500,5200,4900,4700,4600,4400,4200,4100,3900,3800,3600,3500,3300,3200,3200,3200,3200,3200,3200
LVA,26800,25800,24700,23800,22800,21900,21000,20200,19900,19900,20200,20600,21300,22000,22600,22900,22500,21700,20600,19600,18500,17300,16100,15000,14200,13400,12600,11800,11000,10200,9600,8900,8300,8300,8300,8300,8300,8300
MAR,136100,129300,122800,116800,110800,105200,100100,95800,92000,88300,84800,81300,78200,74900,71800,68500,65600,62700,60000,57400,55100,52700,50500,48500,46500,44500,42600,40700,39100,37400,35700,34300,32800,32800,32800,32800,32800,32800
MCO,0,0,0,0,0,0,0,4,3,8500,8200,7800,7400,7100,6800,6500,6300,6000,5800,5500,5300,5100,4900,4800,4700,4600,4500,4400,4300,4200,4100,4000,3900,3900,3900,3900,3900,3900
MDA,51200,49500,47900,46300,44700,43300,42000,40400,39200,37500,36300,34900,33600,32200,31100,30100,28800,27600,26700,25600,24700,23800,22900,22000,21100,20500,19600,19100,18500,17700,16800,16600,16000,16000,16000,16000,16000,16000
MDG,175600,176200,177500,177300,177500,177100,176200,174600,171800,168700,166000,161200,155600,150200,144200,137700,131600,125200,119800,114000,108700,104100,98900,94400,90100,85800,81800,77400,74200,70800,67200,64300,61600,61600,61600,61600,61600,61600
MDV,178600,169600,161400,153600,145700,138200,131400,124700,119800,113800,109400,105200,100500,96300,92300,88200,83700,77800,74100,68100,59700,52700,45300,38900,33900,29400,25700,22300,19300,16600,14400,12400,10700,10700,10700,10700,10700,10700
MEX,74200,71100,68300,65700,62900,60600,58400,56300,54300,52400,50600,48800,47200,45000,42800,40700,38800,36600,34600,32700,30800,29100,27500,25900,24500,23200,21900,20800,19600,18600,17600,16600,15700,15700,15700,15700,15700,15700
MHL,73600,70800,68800,66600,64700,62100,60400,58300,56500,55100,53500,51900,50300,48500,47300,45600,44200,42900,41500,39800,38800,37500,36600,35300,33900,33100,31700,31200,29900,28800,28200,27700,26200,26200,26200,26200,26200,26200
MKD,2237,60700,58400,55900,53700,51500,49200,46900,44800,42300,40000,37600,34800,32000,29200,26800,24500,22400,20300,18600,17200,16300,15600,14900,14300,13800,13300,12700,12000,11400,10800,10200,9600,9600,9600,9600,9600,9600
