"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"FIN",76260,108040,95020,14580,12280,14820,12700,2580,20640,60,160,100,0,20,120,0,0,20,NA,NA,20,0,0,0,20,0,0,100,40,100,540,0,40,60,40,80,220
"FJI",25302.9412915927,22796.526062343,9851.92791332288,21049.0390394064,6188.22203727776,10862.0592193756,28134.7238335899,16428.7137449752,4284.04917647774,3090.45681542295,17434.8190501332,30491.0117629811,12698.1615204304,3288.92030534125,13684.4852538343,3354.68775887317,24553.3986032548,10517.7455018527,20291.2587440307,22815.4325563573,3100.815166784,9559.18764965403,9374.9234755539,3073.06937652908,14809.9040671878,5507.9413830483,2035.31680659792,2306.87600268368,2554.80237715312,2840.41148776566,10971.447755782,2261.87709845738,2383.42290889393,7534.27099241902,16855.6590270494,2323.20471878219,2024.08714540424
"FRA",22640,16240,17400,19560,7980,18620,NA,NA,NA,NA,3136980,2190960,1544640,880100,1084780,1320000,1600000,NA,NA,2e+05,NA,103700,NA,88960,720,800,780,12080,30820,100960,298980,0,5440,5340,3140,1580,10380
"FSM",NA,NA,NA,NA,NA,NA,NA,4234.46146750478,5620.57511903763,6599.17901008119,7201.24048124242,7474.72957033169,7492.06136817532,8368.44086692114,7337.90654151392,7034.31018938801,6982.40957124053,6907.84503949921,7214.38697014561,7136.54742515529,7068.59590315898,7013.99508356298,7017.09366986291,7068.94784932224,7068.51559273725,7198.20147311049,7248.99781024481,7397.12573974254,7482.90696412772,7640.48778853528,5264.77620601204,6199.86373844916,6886.98546744625,4258.02920935581,3471.00785604655,5026.26476474752,3713.95254955701
"GAB",37631.2778337515,24563.4044292256,51361.0059233832,77875.0507161908,55123.80286857,74057.4366279269,28969.9877973663,15892.7733115578,26344.1731173776,15929.2363291622,34063.6271664489,20875.1853228168,17696.7764390739,35954.0909304221,46027.8330277707,10637.3314094202,27443.136460073,38941.2487944972,47079.1678766811,10072.758574316,10520.9804325306,11178.0749708993,26991.4835934521,10279.0832159482,7985.75144820365,12005.6643567504,10324.6216158877,8355.97470060228,10903.9856056296,10405.5958793717,10144.8732856813,10010.3412463447,8783.93810630245,6308.16573003611,10589.2568942854,15094.6325546685,9711.35691983975
"GBR",1235580,2112840,2298960,1352640,2095480,1804280,897000,1765180,603200,564560,234540,246340,240360,470500,180340,137320,96880,1480,NA,2080,1460,6280,9200,3780,1580,15280,20440,28900,24240,8860,22240,41840,38380,2740,1820,11160,7280
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88566.4017580178,169573.87130196,250877.959269056,332565.383767169,413552.22569927,491610.181446514,568481.973154273,644660.003127969,720763.576352932,798381.87134833,874378.528045458,948817.029891668,1021873.67373424,1090455.46268526,100707.289676989,185929.665817401,270367.059847358,121805.809544371,206808.81654681,291643.336961906,376411.261154795,447773.200098942,101942.826833477,101007.162212394,200146.451767907,101249.757071738
"GHA",528082.444299593,952157.856173183,491978.767013381,515426.266164349,763968.186100092,285550.268795956,365371.625195984,524049.253892143,328995.235652584,437515.411267741,301763.407726674,519369.829849598,459183.367652418,459875.849399088,512756.889780458,454862.498747559,482082.483780332,355552.481658937,285666.369061019,342768.960668079,263593.358340281,242905.626218248,69193.9053145245,139859.336261715,147491.86680098,140274.910728085,105360.374858497,134815.055736035,135071.77997191,138128.804768179,101118.425778715,140093.578670394,136831.63862966,46797.3004489024,105273.310204806,143323.61120952,42658.7947256646
"GIN",383112.274421464,416536.493104661,244513.321993722,142291.525882696,109259.360484107,100009.958332486,221392.312272723,121838.02135192,135071.420809769,186458.314573506,194298.11473542,87189.5239998961,165344.545444926,98345.7627320464,68877.6668690811,352389.464961905,275067.433727986,251409.67229839,491405.564380772,300582.666141927,212326.776172031,105375.519391734,96913.1798353591,51066.4087394346,43187.9736806847,41744.4752440088,47552.711176871,42483.4774744168,47288.1015634717,47059.0729007404,40803.9784607268,42002.1221988928,46032.4739431149,47023.1087786799,46646.6352835923,50663.9844678657,95368.3430508648
"GMB",11141.372377016,49737.9029143575,31212.0060098232,42304.6833828839,39368.1729418659,24004.5090151461,38181.5023776977,39213.8482101639,38351.981989345,37625.2459567762,9221.75141824563,12591.0372755391,24828.8033673508,11742.4267606517,8516.39896835272,6380.91888768885,12673.337673724,25468.613562518,22484.250344479,12651.8091541387,8318.60082969041,6769.09712312196,8004.74574807103,4064.08465808097,6945.1379528174,6603.01872865641,6197.80632073509,5181.61206914763,6328.20219715354,6217.49313470876,6042.84539759317,4668.06438582867,6201.44484479017,8162.84711852045,7411.85564958881,6704.43212914994,5955.22697615676
"GNB",72884.1857627266,52875.4322461068,105934.499757814,21964.0344249219,48265.2597166915,76948.5154496192,17285.8501370898,43405.2825293138,15225.6236711159,17981.1322597697,95896.3030754516,32912.2974586545,60684.2367517869,21785.9582707231,24793.4783516234,14397.8053727567,24401.971599098,61374.8865949085,23361.6471883005,58096.7519378363,15073.5451686709,19188.9260627559,46902.5194281781,29432.5667673809,13578.3996437326,11799.8331423878,16259.2792327777,14630.1475357804,11938.3430743113,15364.2063196571,12055.5667032435,11734.3833451948,13587.6482155401,12018.2766414779,16276.1419686684,13288.7706340812,12776.1698054729
"GNQ",NA,NA,NA,NA,69308.4946896604,115271.439639399,179984.527128661,171049.132417189,155652.142561946,137225.38744484,131210.307472879,130823.961375286,131236.53057004,132633.14307281,133129.574902556,133991.73685795,134984.745098024,139028.192113021,144566.60840528,147147.741509552,149275.857786452,142511.747650933,138260.935120378,135514.141181582,137103.241887651,67884.0063912813,92321.7065188239,109999.929646072,120211.157304564,40991.0436398633,69374.4981919147,77551.50764601,51563.3624060616,59334.8832248962,59125.4719567193,39593.3768447495,41868.3483390412
"GRC",27780,68340,474460,24000,29680,21000,37820,102000,10680,4900,27420,68960,10060,3260,2240,121640,2720,1320,1380,1120,240,100,NA,20,2440,NA,40,20,40,2980,800,60,60,20,20,0,19360
"GRD",180,34260,5360,220,140,400,120,80,40,120,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",69440,79840,55240,61440,45440,33000,8000,3640,48260,176040,4180,1940,340,4080,460,20,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840,0,0,0
"GUY",140,820,400,5880,1740,300,440,18340,220,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,0,0
