"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"58",19065,27010,23755,3645,3070,3705,3175,645,5160,15,40,25,0,5,30,0,0,5,NA,NA,5,0,0,0,5,0,0,25,10,25,135,0,10,15,10,20,55
"59",23250.302214223,20860.0770944778,8197.76085551618,19097.5127566676,4674.67534718522,8960.75491879904,25876.0766778622,14246.8457225712,2947.85389217551,1708.55024885513,3505.89602805976,27573.7715566687,10239.7243065762,1900.86275073534,10795.8399824978,1981.8090513193,21832.2629713105,462.467431580177,3157.61333204334,6178.45413919961,1820.62789801859,7167.32891005676,7101.5218784479,1639.60440294255,2296.04696275687,3141.9512879643,410.632684548192,233.94703119219,199.405195724367,146.874603122925,411.637234555385,234.328955023831,215.005156735168,3181.3205202643,3609.782700004,987.545655861104,473.03564008485
"60",5660,4060,4350,4890,1995,4655,NA,NA,NA,NA,784245,547740,386160,220025,271195,330000,4e+05,NA,NA,50000,NA,25925,NA,22240,180,200,195,3020,7705,25240,74745,0,1360,1335,785,395,2595
"61",NA,NA,NA,NA,NA,NA,NA,517.162399587057,503.718985999866,574.106166175539,666.004623308085,742.891890777267,776.106797813464,1168.20030860538,906.012347390093,770.31772932321,704.702569297155,626.017277329051,672.99209163827,626.939330001235,574.366080169329,509.994943956669,464.187660269946,430.366665204665,382.981363985056,364.630188509333,332.558189045933,317.356622411458,300.056924531961,297.184853285005,154.112883638339,158.98110263265,163.094731190954,66.3293770795531,34.1008496587546,52.2896713659198,27.5840912091511
"62",21046.2767075951,16401.8552580582,39099.9539864358,66041.1812043198,45662.7495309511,62174.6376043406,21856.1636242467,9051.91623641339,14977.9816846465,8309.09102765827,9286.92047949403,10867.9969331768,9207.32289923715,10824.1412465256,12440.8801142821,4399.81353870186,6571.30673295459,8781.8196957572,10953.5993215381,3883.78678091765,8497.00903451501,4626.98248678913,7073.79164560372,3535.11610852829,320.636117769252,1224.54074824439,1404.91027014154,421.594229075336,965.987319482852,1326.73995873938,1448.47989231354,1550.57477561494,726.14942905233,340,897.547496847646,3416.52873818705,1445.12998148588
"63",308895,528210,574740,338160,523870,451070,224250,441295,150800,141140,58635,61585,60090,117625,45085,34330,24220,370,NA,520,365,1570,2300,945,395,3820,5110,7225,6060,2215,5560,10460,9595,685,455,2790,1820
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.74881904465,6847,1554.88539184506,1823.19908626858,2073.46262961441,2175.02673864335,2256.71162954772,2330.19358477053,2409.87185513016,2582.20388391912,7872,3241,2889.28834539347,2905.56561890398,94,38.1143654816425,40.30883810235,6.25381310233682,7.39890448262693,8.92657661930949,10.3400535643007,11.3507382369571,0.0374152702359574,0.000273306618230233,0.0183421896352251,9.89960265912989e-05
"65",361150.704834123,788248.694545689,381050.705749927,392196.116196493,617453.756113791,196017.389224665,239436.493314487,378503.697729314,220507.682062867,301897.837828766,194633.366737442,368924.61532355,333593.51072259,331778.290878811,377869.172130078,330648.600527837,350968.547815144,242510.36679735,175918.082457858,211548.871880459,156559.724120566,128638.431254897,1939,8922.91711750408,18629.9459175147,24830.6055757778,10158.4660900103,18992.6212898487,22103.5701747819,26096.7785438722,10850.2058312169,18083.0111474422,19000.3633271234,1030,2109.94474186112,5986.40224283841,29.6394459770858
"66",318784.792349041,367678.608777187,205327.847244744,108977.567836561,76860.4863506818,67376.725078105,174125.035319303,91190.5304682238,99671.4602540736,163225.6986729,155947.97896154,60037.7819558936,120945.428860787,68196.9072177564,40568.0459101567,285164.78227477,235517.373342051,212569.35250589,441378.801466156,263955.577136542,177994.368476565,78612.288256176,61144.5363518475,1290.53611719747,9359.66562784998,14393.7676341235,3174.01952671874,10824.8856476509,18403.826962136,3580.06915256375,10077.8838721546,14441.5999805291,3283.36433210738,12564.5240157641,1821.7169400634,3104.89512723159,45815.414833871
"67",4772.78557876423,37902.0891798557,25465.4801723423,18569.0569213645,31772.5653725824,22363.6116769362,16857.6027152353,14820.924535046,13279.6957637972,12361.9522534224,5044.07663122208,6720.11964664625,16960.6414071883,7507.28564160932,4151.07019378353,2143.27625664138,9786.99107266938,10305.0303685653,15740.041594746,8280.47541589208,4243.70033767118,2576.64777750404,2909.84050608146,72.8109648856397,423.562528644212,743.913780380304,998.378729144805,440.527538248779,724.631943452443,981.317048264285,1164.97842905168,369.340101236716,554.881885946834,1334.8537560271,1625.48131133256,1575.56989661111,1352.94179124393
