"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"FJI",108.777728144333,98.4360447136412,40.6243526244892,90.603845685874,24.8177577367104,45.6668007636575,120.059791622269,70.7639107143726,14.4171081455614,10.5491650378097,69.3747933739024,107.637243671134,48.0961525525758,10.6052396970468,47.1146913038526,10.9239043708036,85.4921559910876,40.3128433450409,78.0916857575875,88.1465761896416,10.6538560533098,33.6587973024805,33.7138467706117,10.1650183616458,57.7245175990855,17.6169633902323,5.73434319052834,5.94468636248164,6.3825237860325,6.95510111515249,41.9795234009936,5.71012121044499
"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FSM",NA,NA,NA,NA,NA,NA,NA,19.4713455862775,26.0016703697487,26.6957318797943,29.0155823593047,30.1214031226336,30.2131087719113,32.9978275938714,29.456513102075,28.4191729334477,28.1968092218823,28.3015103962205,29.2655753367074,28.9362578741525,28.8405306833589,28.4979995103635,28.4666714371614,27.8556229707889,27.856202513354,28.1686373028437,28.9076838059062,29.1686322740797,29.6456139399518,30.2804680331569,20.930177555362,24.3655758454647
"GAB",990.625650923962,680.058810237766,1459.23522251746,2271.64781327665,1600.29399553603,2170.61172433031,818.075220163947,418.70990184287,613.050763707219,353.039883448087,803.239962982338,464.456770352465,395.249972366871,857.639597864591,1120.49119845857,231.168163971896,774.47163876612,1121.3010912218,1369.90876569237,259.813166182655,341.618911384153,279.431020496864,753.75754246511,249.214414440402,194.404389121267,262.328501884129,219.307204981976,199.474616033459,231.490983509035,188.439668786663,187.400563866913,186.434026785526
"GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44343484323756,2.87512195809262,2.6928976305473,4.53127206734469,6.36823698280383,4.45888022302901,5.18622983945597,5.62737214410816,5.7336556474773,5.93659945442633,6.43420959949379,6.76324898455078,7.29804358901496,10.2139936415979,0.930821110014251,0.862498378542142,1.19001114444378,0.462903079768407,0.759692828482985,1.05341798466354,1.34293850858775
"GHA",18527.5458510646,36899.9978936159,17207.6283052443,18326.0926333804,29036.623921183,8707.03296545134,12145.3482925609,19092.7658255891,10513.5102103029,15404.836714994,9379.33044891665,16447.9313536572,13737.1514197365,13803.6139891674,15876.7936278798,13618.2788773008,14772.2238464643,9935.18090432209,7435.15183836727,9903.95737327275,6682.54337072336,6046.81488439876,2256.70723237513,2095.37339134092,2071.32343667559,2065.18995951923,2023.3570401874,1896.04281579643,1900.35636472864,2056.84350875325,1950.08271565787,2606.91322591541
"GIN",21159.9802834614,23191.0891377391,13594.7140520342,7890.53999491785,6108.85705613599,5609.11523780667,12339.1835503318,6776.8958250961,7537.78041470257,10490.656099946,10792.9884578234,4876.06308065294,9223.41999048472,5485.57563700989,3887.49992372304,19589.4126270266,15246.9990767964,13952.2665546424,27266.6810166237,16626.8094495344,11773.973268741,5862.64675440044,5434.03245043055,3068.89566773872,2516.04555410961,2405.71516390236,2832.29207522609,2462.27385510811,2708.66901824243,2790.27090488006,2366.59891241234,2414.38912119552
"GMB",499.746281499274,2212.6398929228,1421.93024443939,1939.47913652269,1800.15092759327,1110.23820853126,1768.40850200399,1803.27010081002,1758.61670713476,1723.90809497609,420.122163802692,573.888812538731,1093.83931243395,513.710341742658,372.849371173708,279.651151293335,558.302360274833,1164.78264968684,986.507673802343,553.910279023711,364.00137381805,297.649439990087,354.012388435162,194.655317762301,314.031509916329,287.948703524772,271.318243339769,238.564699345319,279.968823859274,273.571078703622,266.250065096576,217.394782586412
"GNB",3899.79466202976,2907.54948483206,5813.76256411328,1159.2178938976,2638.47166406104,4242.99626034865,907.28031837469,2374.02568814269,809.627596583864,826.21100628684,5166.77249169825,1789.68532150712,3341.16442468302,1167.74762414684,1147.93860027742,657.995498004997,1319.99894112724,3557.56617172815,1267.13005860261,3362.96296892585,691.074033443381,881.379274819311,2184.41990889523,1454.65491710832,615.484718308199,533.909155058373,853.28994869014,643.489657875392,533.754750171329,730.850071336926,538.074973341654,528.265673611011
"GNQ",NA,NA,NA,NA,672.704502071792,729.794791190003,3100.7728757394,932.971294414692,670.264093499573,568.253748633985,588.977084550439,652.086176865151,533.205294729554,547.859811164867,512.834202531472,509.13743651565,513.495154738867,830.773864043023,1092.35484578475,1191.71343284599,666.225410773434,568.782386748416,558.928780684188,562.205979010819,1056.61409127514,519.690071203291,563.334341466758,618.371328529372,567.535458087326,404.9044811229,573.981822553195,713.786096027163
"GRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
