,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52155,0.4237,0,0,0.8835,0,0,0,0.874
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703,0,0.47975,0.62225,0,0.351,0.4427,0.04845
PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62225,0,0,0,0,0,0,0.931,0,0,0.03705,0,0.893,0,0,0,0
PER,0,0,0,0,0,0,0,0,0,0,0,0,0.7277,0,0,0.9215,0,0.9386,0,0,0,0.9215,0,0,0,0,0,0,0,0,0,0.7512889,0
PHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8968,0,0,0,0,0,0.893,0,0,0.9025,0,0.01425,0,0.9291,0
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7860675,0
PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8949,0,0,0,0,0,0.0798,0.53865,0.7904,0,0,0,0.77425,0,0,0.8313904
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88635,0,0,0,0,0,0,0,0.9405,0,0,0,0,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73625,0,0,0.9405,0,0,0,0,0.88635,0,0,0,0,0,0.91865,0,0,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7201,0,0,0,0,0,0,0.627,0,0,0,0,0
ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8835,0,0,0,0,0,0,0,0,0,0,0,0,0.00285,0
RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8759,0,0,0.9405,0,0,0.9405,0,0,0
SAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59185,0,0,0,0,0,0.9215,0,0,0.7942,0,0,0,0.9247657,0
SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1026,0.53865,0.2717,0.3135,0.20805,0.2033,0,0,0.2356,0.2698
SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0.9405,0,0,0,0.154,0,0
SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8151,0.79895,0,0,0,0,0,0,0,0.9215,0,0,0.855,0,0,0.99
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87875,0,0,0.9405,0,0,0.9405,0,0,0.9405
SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0,0,0,0.93575,0,0,0,0,0.83125
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855,0.5282,0.70965,0.0703,0.6365,0.892,0.61655,0.47025
SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0.9405,0,0,0,0,0.9405
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88825,0,0,0,0,0,0,0,0.58615,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87685,0.8132,0,0,0.912,0,0,0,0.8645,0,0,0.84455,0,0,0
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0.0019,0,0.9405,0,0,0,0,0.6232
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4522,0.57665,0,0.912,0.836,0,0.3534,0.9405
TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0.9405,0,0,0,0.931,0,0.9405,0,0
THA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0,0,0.9348,0,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9215,0,0,0,0,0
TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0.32965,0,0,0.85025,0,0.9291,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
