"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"GBR",308895,528210,574740,338160,523870,451070,224250,441295,150800,141140,58635,61585,60090,117625,45085,34330,24220,370,NA,520,365,1570,2300,945,395,3820,5110,7225,6060,2215,5560,10460
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.510112107832,6847,1356,1613.58421557072,2152.4303000466,2629.98576399302,2941.12856334015,3081.75958307833,2977.83277670428,2961.23828983891,3314.40090135255,3657.75503516023,17289.0117696531,18967.571777716,246.231304619389,255.564803741049,270.170157629166,39.2410854848295,43.8018476819008,51.1762614052756,57.464428695583
"GHA",357816.589477477,766444.68578706,344349.715213568,365120.944771523,595908.861815944,163000.47350354,224197.145937659,371840.596437865,195685.822762951,292123.785096146,171457.50858318,373100.595379969,313674.588680917,314508.127408768,365210.504186314,310183.289170653,336810.132774546,218391.977302829,153753.997784835,207844.134603583,136644.069302748,114954.46481081,1939,7545.62645784097,13899.0403817804,16888.4288396528,6277.97106068576,11164.5154901955,12447.974113159,15595.2090511602,6726.17750074424,14945.2856424637
"GIN",326330.739748869,379066.706641709,210801.978114536,111452.578069724,78642.7066553784,69007.0051878063,178902.876061379,93167.1317504652,102198.4996451,170461.969549379,160122.329011333,61200.7659878957,124232.916323464,69775.8456515908,41493.9232774455,292598.154934011,241834.282523607,218211.784672643,453933.861392699,270643.879601755,182332.714430281,80155.5060795037,62700.2956358993,1324.54516021473,9663.82469096758,14861.8712827615,3275.8579771306,11185.1920637779,18988.3661052111,3693.2057538166,10416.2510492307,14916.8004226727
"GMB",4904.50175910292,37150.2339689907,25311.0563281275,18063.0309164179,31731.7673970431,22633.3010194973,16652.2466512726,14635.531270437,13128.1502328645,12269.3733307448,5009.35318448094,6727.10386083293,16941.9648096811,7414.44546135309,4104.25562188459,2120.3506626047,9834.90335760522,10457.5495848579,15679.5605567888,8199.45878286253,4201.97964478206,2566.21996989791,2935.81815393202,76.3669105434408,460.906801040599,803.375415619051,1078.05116377989,479.718581372659,777.481468147298,1050.93095024529,1245.94545707979,398.018367714346
"GNB",58744.4317316215,42664.2097051581,93932.115089353,13098.9739619236,35836.478310051,64339.6489735298,8884.88725539087,30020.5261200522,7234.23055891902,8226.81855688377,78073.9977600442,23090.2178966311,47711.2769685651,12960.671632203,14924.1160126203,6706.50747505443,13447.5923172779,18595.1024470198,13488.3616400378,16945.3610698634,6879.53588642504,8644.48028722711,32132.690067593,28354.7061633217,6342.03198742872,3592.68385701093,167.708911391512,1361.81602269107,2208.1872080317,1114.46356807747,2083.4144819578,2662.69459911716
"GNQ",NA,NA,NA,NA,1854.13785415987,4163.33839375775,60723.8819316938,21067.4823167897,7047.39001528774,2923.82846211065,2009.15456748416,2213.96058885455,2082.2482572303,2247.99347963457,1891.7550321427,1695.35745283129,1600.2376992714,2530.11229122895,4829.64890558981,6896.50874978658,7050.25370081314,4161.7249674348,3436.04459330404,3238.26244506727,5840.87821914008,1776.51760200964,2499.43701661102,3750.73571605498,3641.59492241842,570.504519184647,1765.06957175393,4353.63316504164
"GRC",6945,17085,118615,6000,7420,5250,9455,25500,2670,1225,6855,17240,2515,815,560,30410,680,330,345,280,60,25,NA,5,610,NA,10,5,10,745,200,15
"GRD",45,8565,1340,55,35,100,30,20,10,30,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",17360,19960,13810,15360,11360,8250,2000,910,12065,44010,1045,485,85,1020,115,5,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",35,205,100,1470,435,75,110,4585,55,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",29285,12230,5840,25140,32380,3015,7185,5775,31765,41800,475,290,65,15,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,595,585,800,435,690,3485,595,1200,3240,155,45,40,30,95,270,10,5,0,255,10,35,60,10
"HTI",12510,5320,4345,8405,10555,1345,15650,1175,2900,7070,NA,NA,NA,NA,NA,5,0,15,0,4960,795,0,0,0,0,0,0,0,0,0,0,0
"HUN",52865,12605,620,490,100,85,150,5515,NA,145,80,70,165,55,20,60,120,115,5,5,100,0,0,0,10,5,0,0,5,0,25,10
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,719839.034895874,885251.856215562,2636643.13531833,2013169.94607086,3147457.30138429,2152553.97143495,2030037.19748099,1737998.63685799,1716851.96302719,2405736.18732086,1625619.82384089,1403961.66765104,1900200.87231647,2052145.37499724,1255976.97202732,1690872.29387391,1792020.39218717,1298382.753594,659355.37574352,1377088.37645101,1023877.23219312,1385023.57727135,979270.441886001
"IND",30320925.9026005,22096168.6310538,19811458.5148074,28593450.2292504,24276849.9718827,23325720.5755152,38652116.2856887,24163152.4224809,24858632.7555208,13765187.1239549,12253983.6392884,11270920.0537053,8437776.06017729,8082241.78714408,6410929.05394613,7515525.29222394,9564357.69573648,6584527.48639715,4896436.07507067,6524765.65959442,8308917.88769743,7174026.553137,7719582.01723521,8178048.01445942,6717461.01097756,9674101.35581476,7117522.10134043,7116230.98213082,8603033.78792264,5665071.75136257,4966973.05252731,3282447.71037784
"IRL",5375,9485,30900,28625,49515,2255,1005,4680,6240,2780,675,895,21640,6165,1175,1140,925,1020,735,NA,1205,1215,2920,1670,475,435,320,285,820,2215,1425,535
"IRN",808320.384246634,1114465.26743686,981747.65242589,751681.024308627,471050.434075938,356160.385496486,438150.50780676,266569.446349497,151180.058060168,124911.381020273,136502.060100909,114937.369647514,104953.549647242,35575.3071079106,17337.1324186697,50943.905238673,87378.6595340579,67965.2822767457,92134.9859917457,314619.78914406,217963.136530157,214524.127921138,264526.260270102,783.507114501921,1379.02748996472,3356.18861104343,3948.15340422641,4178.28722726075,5897.18118590005,10684.7612495485,6568.10882222299,8192.45376194845
"IRQ",868241.706351845,428549.317974996,510517.040827716,511938.780594937,298586.195870252,154737.981596186,116876.520724532,131929.559672618,154564.01805261,62426.2549617532,151230.859596697,271472.015940173,220182.79961968,148037.474141525,107718.946914654,13763.6584584913,16943.7916628363,91742.4436945909,130552.680561737,63516.3478365334,64207.368030985,99457.4827394722,43790.7857494955,120703.05933994,11899.202497934,10147.7616993765,7206.65719979605,54783.6074931443,54517.3074051143,7072.8800096625,4613.40478868855,9724.76099217588
"ISL",120,70,195,810,1870,660,70,55,115,70,50,40,40,35,10,5,5,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ISR",1140,39320,645,685,15025,9755,2190,970,145,1150,4955,330,705,7775,110,95,60,40,70,180,95,10,620,580,10,45,2695,4655,25,115,350,1055
"ITA",356195,92115,131855,385745,375200,106530,103135,460940,146070,26115,117290,325065,84450,30790,185655,162980,206270,20360,14540,7285,NA,46925,54910,2995,675,2195,1605,8085,1755,1860,25945,0
"JAM",26330,14075,5820,1180,335,150,185,150,28630,18255,1540,0,0,0,75,20,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
