iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
MDA,2002,922085,855970,92.8,MR,EURO,Republic of Moldova,SpeedUp,National,8,19,855970,922085,92,867907,11,636465.1,92.8
MEX,2002,4018823,3938447,98,MMR,AMRO,Mexico,FollowUp,National,1,4,3938447,4018823,98,32818643,3,6563729,60
MHL,2002,5714,4383,77,MMR,WPRO,Marshall Islands,FollowUp,National,1,4,4383,5714,76,17481,3,3496.2,77
MMR,2002,1792980,1577169,88,Meas,SEARO,Myanmar,FollowUp,Rollover,0.75,4.92,1577169,1792980,87,13787722,4.17,3832987,41.1
SWZ,2002,157381,127829,81,Meas,AFRO,Swaziland,FollowUp,National,0.75,4.92,127829,157381,81,478729,4.17,133086.7,96
TUN,2002,127689,126412,99,Meas,EMRO,Tunisia,FollowUp,Rollover,0.5,1.25,126412,127689,98,2716834,0.75,135841.7,93.1
VEN,2002,15889003,15730112,99,Meas,AMRO,Venezuela,FollowUp,National,1,4,1.57E+07,1.59E+07,98,8293216,3,1658643,99
VNM,2002,6729171,6684980,99,Meas,WPRO,Viet Nam,CatchUp,Rollover,0.75,10,6684980,6729171,99,25699870,9.25,1.58E+07,42.2
ZMB,2002,651330,729469,99,Meas,AFRO,Zambia,CatchUp,Rollover,0.5,15,729469,651330,111,4997969,14.5,4831370,15.1
ZWE,2002,1808552,1537263,85,Meas,AFRO,Zimbabwe,FollowUp,National,0.75,4.92,1537263,1808552,84,5214811,4.17,1449718,85
AFG,2003,5560714,5338285,96,Meas,EMRO,Afghanistan,FollowUp,National,0.75,4.92,5338285,5560714,95,10690896,4.17,2972069,96
AGO,2003,7642739,7226105,95,Meas,AFRO,Angola,CatchUp,National,0.75,14,7226105,7642739,94,7299014,13.25,6447463,95
BEN,2003,2224754,2299583,99,Meas,AFRO,Benin,CatchUp,Rollover,0.75,14,2299583,2224754,103,3248808,13.25,2869781,80.1
BHS,2003,14700,3732,25,MMR,AMRO,Bahamas,FollowUp,National,4,40,3732,14700,25,89857,15,89857,4.2
BOL,2003,941721,894593,95,MMR,AMRO,Bolivia,FollowUp,National,1,4,894593,941721,94,3427337,3,685467.4,95
CIV,2003,949284,808838,85,Meas,AFRO,C’‚te d'Ivoire,CatchUp,Subnational,0.5,14,808838,949284,85,7635040,13.5,6871536,11.8
COD,2003,100000,108000,99,Meas,AFRO,DRCongo,CatchUp,Rollover,0.5,15,108000,100000,108,26642060,14.5,2.58E+07,0.4
DJI,2003,93800,77854,83,Meas,EMRO,Djibouti,CatchUp,Rollover,0.75,4.92,77854,93800,83,307742,4.17,85552.28,91
DOM,2003,550474,521792,95,Meas,AMRO,Dominican Republic,FollowUp,National,0.5,3,521792,550474,94,3125275,2.5,520879.2,95
DZA,2003,9293980,8950700,96,Meas,AFRO,Algeria,CatchUp,National,0.75,14,8950700,9293980,96,9955721,13.25,8794220,96
ERI,2003,1283069,1047682,83,Meas,AFRO,Eritrea,CatchUp,National,0.75,14,1047682,1283069,81,1767144,13.25,1560977,67.1
ETH,2003,5605502,5101007,91,Meas,AFRO,Ethiopia,CatchUp,Rollover,0.5,14,5101007,5605502,91,32131261,13.5,2.89E+07,17.6
GIN,2003,3278577,3202848,98,Meas,AFRO,Guinea,CatchUp,Rollover,0.75,14,3202848,3278577,97,3875508,13.25,3423366,93.6
GMB,2003,739989,677830,91.6,Meas,AFRO,Gambia,CatchUp,National,0.75,14,677830,739989,91,616994,13.25,545011.4,91.6
HTI,2003,423831,383233,90.42,MR,AMRO,Haiti,FollowUp,National,0.5,1.92,383233,423831,90,3541414,1.42,335253.8,90.42
IDN,2003,1030445,980754,95,Meas,SEARO,Indonesia,CatchUp,Rollover,6,12,980754,1030445,95,62190933,6,2.49E+07,3.9
IRN,2003,32928711,33527337,99,MR,EMRO,Iran,CatchUp,National,5,25,3.35E+07,3.29E+07,101,19561061,15,1.96E+07,99
KHM,2003,2021339,2078502,99,Meas,WPRO,Cambodia,CatchUp,Rollover,0.75,14,2078502,2021339,102,5234934,13.25,4624192,44.9
LKA,2003,1987847,1897173,95.4,Meas,SEARO,Sri Lanka,SpeedUp,Rollover,10,14,1897173,1987847,95,4843154,4,1291508,95.4
LSO,2003,204786,178522,87,Meas,AFRO,Lesotho,FollowUp,National,0.75,4.92,178522,204786,87,799226,4.17,222184.8,80.3
